2.000000000000000000e+00,9.955096975001269666e-01
4.000000000000000000e+00,9.952287903950075565e-01
6.000000000000000000e+00,9.945125759094790574e-01
8.000000000000000000e+00,9.923705999083706208e-01
1.000000000000000000e+01,9.843072855386116871e-01
1.200000000000000000e+01,9.548384042932434035e-01
1.400000000000000000e+01,8.469131376016210133e-01
1.600000000000000000e+01,5.621882462497349575e-01
1.800000000000000000e+01,2.176818903568593089e-01
2.000000000000000000e+01,5.339766446058823862e-02
2.200000000000000000e+01,1.342171696442891367e-02
2.400000000000000000e+01,5.022782456248442613e-03
2.600000000000000000e+01,3.200329603129931869e-03
2.800000000000000000e+01,1.872436073086561001e-03
3.000000000000000000e+01,1.408968390100465628e-03
3.200000000000000000e+01,1.571122874197544749e-03
3.400000000000000000e+01,6.720331925959473771e-04
3.600000000000000000e+01,5.854174758374565369e-04
