2.000000000000000000e+00,9.789231031469241007e-01
4.000000000000000000e+00,9.782688290150977073e-01
6.000000000000000000e+00,9.821210386206815635e-01
8.000000000000000000e+00,9.781488765102186456e-01
1.000000000000000000e+01,9.784219180437687680e-01
1.200000000000000000e+01,9.802258110498998089e-01
1.400000000000000000e+01,9.723556132381570016e-01
1.600000000000000000e+01,9.545330747176145048e-01
1.800000000000000000e+01,8.992461048028713710e-01
2.000000000000000000e+01,7.349128793232247991e-01
2.200000000000000000e+01,5.002969089989655060e-01
2.400000000000000000e+01,2.306239193747468830e-01
2.600000000000000000e+01,7.490210146869408225e-02
2.800000000000000000e+01,1.754277548182766114e-02
3.000000000000000000e+01,4.837214554933911594e-03
3.200000000000000000e+01,1.906180333089791800e-03
3.400000000000000000e+01,3.078775705217586325e-03
3.600000000000000000e+01,1.827058105594400522e-03
